purchase_time,account_id,ip,product_id,amount,num_tickets,scalp_flag
2025-01-01T01:07:00+00:00,A0034,101.233.87.141,P002,69.26,1,0
2025-01-01T02:18:00+00:00,A0085,70.17.11.87,P014,59.19,1,0
2025-01-01T02:39:00+00:00,A0088,194.49.228.174,P016,24.27,1,0
2025-01-01T02:41:00+00:00,A0098,132.73.59.62,P016,14.65,1,0
2025-01-01T03:18:00+00:00,A0052,161.194.170.208,P010,49.73,1,0
2025-01-01T03:35:00+00:00,A0071,207.25.35.41,P004,46.74,1,0
2025-01-01T03:35:00+00:00,A0017,94.163.151.57,P013,42.19,1,0
2025-01-01T04:59:00+00:00,A0080,247.51.178.46,P008,61.27,1,0
2025-01-01T06:38:00+00:00,A0081,134.98.1.78,P004,65.55,1,0
2025-01-01T07:00:00+00:00,A0020,248.25.6.89,P008,22.54,1,0
2025-01-01T08:39:00+00:00,A0069,104.222.163.192,P009,37.67,1,0
2025-01-01T09:27:00+00:00,A0029,185.30.144.252,P000,74.78,1,0
2025-01-01T09:43:00+00:00,A0062,163.215.92.208,P007,27.0,1,0
2025-01-01T09:58:00+00:00,A0018,146.168.1.20,P007,38.67,1,0
2025-01-01T10:10:00+00:00,A0039,41.254.102.48,P016,56.61,1,0
2025-01-01T10:13:00+00:00,A0089,81.171.154.214,P011,7.86,1,0
2025-01-01T10:14:00+00:00,A0020,161.155.186.190,P012,52.65,1,0
2025-01-01T10:33:00+00:00,A0065,96.69.129.35,P002,67.91,1,0
2025-01-01T11:27:00+00:00,A0046,167.213.172.133,P005,54.21,1,0
2025-01-01T11:43:00+00:00,A0034,71.213.221.32,P009,43.7,1,0
2025-01-01T11:49:00+00:00,A0038,66.211.107.106,P010,1.0,1,0
2025-01-01T11:49:00+00:00,A0001,226.163.92.200,P012,41.51,1,0
2025-01-01T13:57:00+00:00,A0025,95.53.45.31,P019,46.59,1,0
2025-01-01T14:03:00+00:00,A0060,163.140.245.98,P004,61.11,1,0
2025-01-01T15:17:00+00:00,A0001,248.198.70.251,P005,26.7,1,0
2025-01-01T15:47:00+00:00,A0045,209.17.38.39,P001,64.98,1,0
2025-01-01T15:54:00+00:00,A0013,242.206.41.109,P018,80.33,1,0
2025-01-01T16:12:00+00:00,A0097,247.127.234.201,P003,54.74,1,0
2025-01-01T16:57:00+00:00,A0021,192.202.136.175,P014,45.27,1,0
2025-01-01T17:32:00+00:00,A0090,25.249.177.45,P006,61.02,1,0
2025-01-01T18:27:00+00:00,A0012,15.212.36.158,P015,35.51,1,0
2025-01-01T18:32:00+00:00,A0075,12.210.22.194,P010,22.48,1,0
2025-01-01T20:00:00+00:00,A0041,88.18.230.73,P015,65.43,1,0
2025-01-01T20:23:00+00:00,A0040,168.101.218.242,P007,42.16,1,0
2025-01-01T21:25:00+00:00,A0013,246.91.92.252,P002,27.06,1,0
2025-01-01T22:00:00+00:00,A0020,47.246.93.10,P012,26.73,1,0
2025-01-01T23:10:00+00:00,A0042,147.188.230.222,P019,18.26,1,0
2025-01-02T02:07:00+00:00,A0065,100.208.147.220,P000,56.83,1,0
2025-01-02T02:34:00+00:00,A0008,160.200.165.161,P015,68.59,1,0
2025-01-02T02:56:00+00:00,A0088,63.79.161.46,P007,56.91,1,0
2025-01-02T06:02:00+00:00,A0070,3.245.8.160,P016,150.8,1,0
2025-01-02T06:06:00+00:00,A0010,155.19.193.224,P002,3.11,1,0
2025-01-02T07:28:00+00:00,A0097,30.137.229.241,P004,40.89,1,0
